Date,Competition Name,Home team,Opponent,Away team,Minute,Score Home Team - When Messi Scored,Score Away Team - When Messi Scored,Goal Type,Goal Method,Final Game Result
mercredi 19 octobre 2016,Champions League,FC Barcelona,Manchester City,Manchester City,69,3,0,Field goal,Left foot,Won
mercredi 19 octobre 2016,Champions League,FC Barcelona,Manchester City,Manchester City,61,2,0,Field goal,Left foot,Won
mercredi 19 octobre 2016,Champions League,FC Barcelona,Manchester City,Manchester City,17,1,0,Field goal,Left foot,Won
mardi 13 septembre 2016,Champions League,FC Barcelona,Celtic,Celtic,60,5,0,Field goal,Left foot,Won
mardi 13 septembre 2016,Champions League,FC Barcelona,Celtic,Celtic,27,2,0,Field goal,Left foot,Won
mardi 13 septembre 2016,Champions League,FC Barcelona,Celtic,Celtic,3,1,0,Field goal,Left foot,Won
mercredi 16 mars 2016,Champions League,FC Barcelona,Arsenal,Arsenal,88,3,1,Field goal,Left foot,Won
mercredi 3 f�vrier 2016,,FC Barcelona,Valencia,Valencia,74,5,0,Field goal,Left foot,Won
mercredi 3 f�vrier 2016,,FC Barcelona,Valencia,Valencia,58,4,0,Field goal,Left foot,Won
mercredi 3 f�vrier 2016,,FC Barcelona,Valencia,Valencia,29,3,0,Field goal,Left foot,Won
mercredi 6 janvier 2016,,FC Barcelona,Espanyol,Espanyol,44,2,1,Free kick,Left foot,Won
mercredi 6 janvier 2016,,FC Barcelona,Espanyol,Espanyol,13,1,1,Field goal,Left foot,Won
mardi 24 novembre 2015,Champions League,FC Barcelona,AS Roma,AS Roma,59,5,0,Rebound,Left foot,Won
mardi 24 novembre 2015,Champions League,FC Barcelona,AS Roma,AS Roma,18,2,0,Field goal,Left foot,Won
lundi 17 ao�t 2015,,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,43,1,0,Field goal,Left foot,Draw
mardi 11 ao�t 2015,,FC Barcelona,Sevilla,Sevilla,15,2,1,Free kick,Left foot,Won
mardi 11 ao�t 2015,,FC Barcelona,Sevilla,Sevilla,7,1,1,Free kick,Left foot,Won
mercredi 6 mai 2015,Champions League,FC Barcelona,Bayern M�nchen,Bayern M�nchen,77,1,0,,Left foot,Won
mercredi 11 f�vrier 2015,,FC Barcelona,Villarreal,Villarreal,41,1,0,,Left foot,Won
mercredi 21 janvier 2015,,FC Barcelona,Atl�tico Madrid,Atl�tico Madrid,85,1,0,Rebound,Left foot,Won
jeudi 8 janvier 2015,,FC Barcelona,Elche,Elche,45,3,0,Penalty,Left foot,Won
mardi 21 octobre 2014,Champions League,FC Barcelona,Ajax,Ajax,24,2,0,,Left foot,Won
mercredi 12 mars 2014,Champions League,FC Barcelona,Manchester City,Manchester City,67,1,0,,Left foot,Won
mercredi 8 janvier 2014,,FC Barcelona,Getafe,Getafe,90+3,4,0,,Left foot,Won
mercredi 8 janvier 2014,,FC Barcelona,Getafe,Getafe,90,3,0,,Left foot,Won
mercredi 6 novembre 2013,Champions League,FC Barcelona,AC Milan,AC Milan,83,3,1,,Left foot,Won
mercredi 6 novembre 2013,Champions League,FC Barcelona,AC Milan,AC Milan,30,1,0,Penalty,Left foot,Won
mercredi 18 septembre 2013,Champions League,FC Barcelona,Ajax,Ajax,75,4,0,,Left foot,Won
mercredi 18 septembre 2013,Champions League,FC Barcelona,Ajax,Ajax,55,2,0,,Left foot,Won
mercredi 18 septembre 2013,Champions League,FC Barcelona,Ajax,Ajax,22,1,0,Free kick,Left foot,Won
mardi 12 mars 2013,Champions League,FC Barcelona,AC Milan,AC Milan,39,2,0,,Left foot,Won
mardi 12 mars 2013,Champions League,FC Barcelona,AC Milan,AC Milan,5,1,0,,Left foot,Won
mercredi 16 janvier 2013,,FC Barcelona,M�laga,M�laga,29,1,1,,Left foot,Draw
mercredi 19 septembre 2012,Champions League,FC Barcelona,Spartak Moscow,Spartak Moscow,71,2,2,,Left foot,Won
jeudi 23 ao�t 2012,,FC Barcelona,Real Madrid,Real Madrid,70,2,1,Penalty,Left foot,Won
mardi 3 avril 2012,Champions League,FC Barcelona,AC Milan,AC Milan,41,2,1,Penalty,Left foot,Won
